EXTRA,DATA_TYPE,COLUMN_KEY,COLUMN_TYPE,IS_NULLABLE,IS_GENERATED,TABLE_SCHEMA,PRIVILEGES,TABLE_NAME,NUMERIC_SCALE,TABLE_CATALOG,COLUMN_NAME,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,DATA_FREE,NULL,<blank>,NULL,32,20,NULL,NULL,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,CREATE_TIME,NULL,<blank>,NULL,33,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,UPDATE_TIME,NULL,<blank>,NULL,34,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,FILES,NULL,def,CHECK_TIME,NULL,<blank>,NULL,35,NULL,NULL,0,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,FILES,0,def,CHECKSUM,NULL,<blank>,NULL,36,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(20),NO,NEVER,information_schema,select,FILES,NULL,def,STATUS,utf8mb3_general_ci,<blank>,NULL,37,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(255),YES,NEVER,information_schema,select,FILES,NULL,def,EXTRA,utf8mb3_general_ci,<blank>,NULL,38,NULL,utf8mb3,NULL,NULL,765,255
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,GLOBAL_STATUS,NULL,def,VARIABLE_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(4096),NO,NEVER,information_schema,select,GLOBAL_STATUS,NULL,def,VARIABLE_VALUE,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,12288,4096
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,GLOBAL_VARIABLES,NULL,def,VARIABLE_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(4096),NO,NEVER,information_schema,select,GLOBAL_VARIABLES,NULL,def,VARIABLE_VALUE,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,12288,4096
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,KEYWORDS,NULL,def,WORD,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(192),NO,NEVER,information_schema,select,KEY_CACHES,NULL,def,KEY_CACHE_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,576,192
<blank>,int,<blank>,int(3) unsigned,YES,NEVER,information_schema,select,KEY_CACHES,0,def,SEGMENTS,NULL,<blank>,NULL,2,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(3) unsigned,YES,NEVER,information_schema,select,KEY_CACHES,0,def,SEGMENT_NUMBER,NULL,<blank>,NULL,3,10,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,FULL_SIZE,NULL,<blank>,NULL,4,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,BLOCK_SIZE,NULL,<blank>,NULL,5,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,USED_BLOCKS,NULL,<blank>,NULL,6,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,UNUSED_BLOCKS,NULL,<blank>,NULL,7,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,DIRTY_BLOCKS,NULL,<blank>,NULL,8,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,READ_REQUESTS,NULL,<blank>,NULL,9,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,READS,NULL,<blank>,NULL,10,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,WRITE_REQUESTS,NULL,<blank>,NULL,11,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,KEY_CACHES,0,def,WRITES,NULL,<blank>,NULL,12,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,CONSTRAINT_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,CONSTRAINT_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,CONSTRAINT_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,TABLE_CATALOG,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,TABLE_SCHEMA,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,COLUMN_NAME,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(10),NO,NEVER,information_schema,select,KEY_COLUMN_USAGE,0,def,ORDINAL_POSITION,NULL,<blank>,NULL,8,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(10),YES,NEVER,information_schema,select,KEY_COLUMN_USAGE,0,def,POSITION_IN_UNIQUE_CONSTRAINT,NULL,<blank>,NULL,9,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,REFERENCED_TABLE_SCHEMA,utf8mb3_general_ci,<blank>,NULL,10,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,REFERENCED_TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,11,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,KEY_COLUMN_USAGE,NULL,def,REFERENCED_COLUMN_NAME,utf8mb3_general_ci,<blank>,NULL,12,NULL,utf8mb3,NULL,NULL,192,64
<blank>,longtext,<blank>,longtext,NO,NEVER,information_schema,select,OPTIMIZER_TRACE,NULL,def,QUERY,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,longtext,<blank>,longtext,NO,NEVER,information_schema,select,OPTIMIZER_TRACE,NULL,def,TRACE,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,int,<blank>,int(20),NO,NEVER,information_schema,select,OPTIMIZER_TRACE,0,def,MISSING_BYTES_BEYOND_MAX_MEM_SIZE,NULL,<blank>,NULL,3,10,NULL,NULL,NULL,NULL,NULL
<blank>,tinyint,<blank>,tinyint(1),NO,NEVER,information_schema,select,OPTIMIZER_TRACE,0,def,INSUFFICIENT_PRIVILEGES,NULL,<blank>,NULL,4,3,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,PARAMETERS,NULL,def,SPECIFIC_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PARAMETERS,NULL,def,SPECIFIC_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PARAMETERS,NULL,def,SPECIFIC_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,int,<blank>,int(21),NO,NEVER,information_schema,select,PARAMETERS,0,def,ORDINAL_POSITION,NULL,<blank>,NULL,4,10,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(5),YES,NEVER,information_schema,select,PARAMETERS,NULL,def,PARAMETER_MODE,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,15,5
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PARAMETERS,NULL,def,PARAMETER_NAME,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PARAMETERS,NULL,def,DATA_TYPE,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,192,64
<blank>,int,<blank>,int(21),YES,NEVER,information_schema,select,PARAMETERS,0,def,CHARACTER_MAXIMUM_LENGTH,NULL,<blank>,NULL,8,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(21),YES,NEVER,information_schema,select,PARAMETERS,0,def,CHARACTER_OCTET_LENGTH,NULL,<blank>,NULL,9,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(21),YES,NEVER,information_schema,select,PARAMETERS,0,def,NUMERIC_PRECISION,NULL,<blank>,NULL,10,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(21),YES,NEVER,information_schema,select,PARAMETERS,0,def,NUMERIC_SCALE,NULL,<blank>,NULL,11,10,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,PARAMETERS,0,def,DATETIME_PRECISION,NULL,<blank>,NULL,12,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PARAMETERS,NULL,def,CHARACTER_SET_NAME,utf8mb3_general_ci,<blank>,NULL,13,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PARAMETERS,NULL,def,COLLATION_NAME,utf8mb3_general_ci,<blank>,NULL,14,NULL,utf8mb3,NULL,NULL,192,64
<blank>,longtext,<blank>,longtext,NO,NEVER,information_schema,select,PARAMETERS,NULL,def,DTD_IDENTIFIER,utf8mb3_general_ci,<blank>,NULL,15,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(9),NO,NEVER,information_schema,select,PARAMETERS,NULL,def,ROUTINE_TYPE,utf8mb3_general_ci,<blank>,NULL,16,NULL,utf8mb3,NULL,NULL,27,9
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,PARTITIONS,NULL,def,TABLE_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PARTITIONS,NULL,def,TABLE_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PARTITIONS,NULL,def,TABLE_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PARTITIONS,NULL,def,PARTITION_NAME,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PARTITIONS,NULL,def,SUBPARTITION_NAME,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,192,64
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,PARTITIONS,0,def,PARTITION_ORDINAL_POSITION,NULL,<blank>,NULL,6,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,PARTITIONS,0,def,SUBPARTITION_ORDINAL_POSITION,NULL,<blank>,NULL,7,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(18),YES,NEVER,information_schema,select,PARTITIONS,NULL,def,PARTITION_METHOD,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,54,18
<blank>,varchar,<blank>,varchar(12),YES,NEVER,information_schema,select,PARTITIONS,NULL,def,SUBPARTITION_METHOD,utf8mb3_general_ci,<blank>,NULL,9,NULL,utf8mb3,NULL,NULL,36,12
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,PARTITIONS,NULL,def,PARTITION_EXPRESSION,utf8mb3_general_ci,<blank>,NULL,10,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,PARTITIONS,NULL,def,SUBPARTITION_EXPRESSION,utf8mb3_general_ci,<blank>,NULL,11,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,PARTITIONS,NULL,def,PARTITION_DESCRIPTION,utf8mb3_general_ci,<blank>,NULL,12,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,PARTITIONS,0,def,TABLE_ROWS,NULL,<blank>,NULL,13,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,PARTITIONS,0,def,AVG_ROW_LENGTH,NULL,<blank>,NULL,14,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,PARTITIONS,0,def,DATA_LENGTH,NULL,<blank>,NULL,15,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,PARTITIONS,0,def,MAX_DATA_LENGTH,NULL,<blank>,NULL,16,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,PARTITIONS,0,def,INDEX_LENGTH,NULL,<blank>,NULL,17,20,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,NO,NEVER,information_schema,select,PARTITIONS,0,def,DATA_FREE,NULL,<blank>,NULL,18,20,NULL,NULL,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,PARTITIONS,NULL,def,CREATE_TIME,NULL,<blank>,NULL,19,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,PARTITIONS,NULL,def,UPDATE_TIME,NULL,<blank>,NULL,20,NULL,NULL,0,NULL,NULL,NULL
<blank>,datetime,<blank>,datetime,YES,NEVER,information_schema,select,PARTITIONS,NULL,def,CHECK_TIME,NULL,<blank>,NULL,21,NULL,NULL,0,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(21) unsigned,YES,NEVER,information_schema,select,PARTITIONS,0,def,CHECKSUM,NULL,<blank>,NULL,22,20,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,PARTITIONS,NULL,def,PARTITION_COMMENT,utf8mb3_general_ci,<blank>,NULL,23,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(12),NO,NEVER,information_schema,select,PARTITIONS,NULL,def,NODEGROUP,utf8mb3_general_ci,<blank>,NULL,24,NULL,utf8mb3,NULL,NULL,36,12
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PARTITIONS,NULL,def,TABLESPACE_NAME,utf8mb3_general_ci,<blank>,NULL,25,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_NAME,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(20),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_VERSION,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(16),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_STATUS,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,48,16
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_TYPE,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(20),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_TYPE_VERSION,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_LIBRARY,utf8mb3_general_ci,<blank>,NULL,6,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(20),YES,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_LIBRARY_VERSION,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,60,20
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_AUTHOR,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,192,64
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_DESCRIPTION,utf8mb3_general_ci,<blank>,NULL,9,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,varchar(80),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_LICENSE,utf8mb3_general_ci,<blank>,NULL,10,NULL,utf8mb3,NULL,NULL,240,80
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PLUGINS,NULL,def,LOAD_OPTION,utf8mb3_general_ci,<blank>,NULL,11,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(12),NO,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_MATURITY,utf8mb3_general_ci,<blank>,NULL,12,NULL,utf8mb3,NULL,NULL,36,12
<blank>,varchar,<blank>,varchar(80),YES,NEVER,information_schema,select,PLUGINS,NULL,def,PLUGIN_AUTH_VERSION,utf8mb3_general_ci,<blank>,NULL,13,NULL,utf8mb3,NULL,NULL,240,80
<blank>,bigint,<blank>,bigint(4),NO,NEVER,information_schema,select,PROCESSLIST,0,def,ID,NULL,<blank>,NULL,1,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(128),NO,NEVER,information_schema,select,PROCESSLIST,NULL,def,USER,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,384,128
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,PROCESSLIST,NULL,def,HOST,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PROCESSLIST,NULL,def,DB,utf8mb3_general_ci,<blank>,NULL,4,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(16),NO,NEVER,information_schema,select,PROCESSLIST,NULL,def,COMMAND,utf8mb3_general_ci,<blank>,NULL,5,NULL,utf8mb3,NULL,NULL,48,16
<blank>,int,<blank>,int(7),NO,NEVER,information_schema,select,PROCESSLIST,0,def,TIME,NULL,<blank>,NULL,6,10,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(64),YES,NEVER,information_schema,select,PROCESSLIST,NULL,def,STATE,utf8mb3_general_ci,<blank>,NULL,7,NULL,utf8mb3,NULL,NULL,192,64
<blank>,longtext,<blank>,longtext,YES,NEVER,information_schema,select,PROCESSLIST,NULL,def,INFO,utf8mb3_general_ci,<blank>,NULL,8,NULL,utf8mb3,NULL,NULL,4294967295,4294967295
<blank>,decimal,<blank>,"decimal(22,3)",NO,NEVER,information_schema,select,PROCESSLIST,3,def,TIME_MS,NULL,<blank>,NULL,9,22,NULL,NULL,NULL,NULL,NULL
<blank>,tinyint,<blank>,tinyint(2),NO,NEVER,information_schema,select,PROCESSLIST,0,def,STAGE,NULL,<blank>,NULL,10,3,NULL,NULL,NULL,NULL,NULL
<blank>,tinyint,<blank>,tinyint(2),NO,NEVER,information_schema,select,PROCESSLIST,0,def,MAX_STAGE,NULL,<blank>,NULL,11,3,NULL,NULL,NULL,NULL,NULL
<blank>,decimal,<blank>,"decimal(7,3)",NO,NEVER,information_schema,select,PROCESSLIST,3,def,PROGRESS,NULL,<blank>,NULL,12,7,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(7),NO,NEVER,information_schema,select,PROCESSLIST,0,def,MEMORY_USED,NULL,<blank>,NULL,13,19,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(7),NO,NEVER,information_schema,select,PROCESSLIST,0,def,MAX_MEMORY_USED,NULL,<blank>,NULL,14,19,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(7),NO,NEVER,information_schema,select,PROCESSLIST,0,def,EXAMINED_ROWS,NULL,<blank>,NULL,15,10,NULL,NULL,NULL,NULL,NULL
<blank>,bigint,<blank>,bigint(4),NO,NEVER,information_schema,select,PROCESSLIST,0,def,QUERY_ID,NULL,<blank>,NULL,16,19,NULL,NULL,NULL,NULL,NULL
<blank>,blob,<blank>,blob,YES,NEVER,information_schema,select,PROCESSLIST,NULL,def,INFO_BINARY,NULL,<blank>,NULL,17,NULL,NULL,NULL,NULL,65535,65535
<blank>,bigint,<blank>,bigint(4),NO,NEVER,information_schema,select,PROCESSLIST,0,def,TID,NULL,<blank>,NULL,18,19,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),NO,NEVER,information_schema,select,PROFILING,0,def,QUERY_ID,NULL,<blank>,NULL,1,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),NO,NEVER,information_schema,select,PROFILING,0,def,SEQ,NULL,<blank>,NULL,2,10,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(30),NO,NEVER,information_schema,select,PROFILING,NULL,def,STATE,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,90,30
<blank>,decimal,<blank>,"decimal(9,6)",NO,NEVER,information_schema,select,PROFILING,6,def,DURATION,NULL,<blank>,NULL,4,9,NULL,NULL,NULL,NULL,NULL
<blank>,decimal,<blank>,"decimal(9,6)",YES,NEVER,information_schema,select,PROFILING,6,def,CPU_USER,NULL,<blank>,NULL,5,9,NULL,NULL,NULL,NULL,NULL
<blank>,decimal,<blank>,"decimal(9,6)",YES,NEVER,information_schema,select,PROFILING,6,def,CPU_SYSTEM,NULL,<blank>,NULL,6,9,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,CONTEXT_VOLUNTARY,NULL,<blank>,NULL,7,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,CONTEXT_INVOLUNTARY,NULL,<blank>,NULL,8,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,BLOCK_OPS_IN,NULL,<blank>,NULL,9,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,BLOCK_OPS_OUT,NULL,<blank>,NULL,10,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,MESSAGES_SENT,NULL,<blank>,NULL,11,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,MESSAGES_RECEIVED,NULL,<blank>,NULL,12,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,PAGE_FAULTS_MAJOR,NULL,<blank>,NULL,13,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,PAGE_FAULTS_MINOR,NULL,<blank>,NULL,14,10,NULL,NULL,NULL,NULL,NULL
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,SWAPS,NULL,<blank>,NULL,15,10,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(30),YES,NEVER,information_schema,select,PROFILING,NULL,def,SOURCE_FUNCTION,utf8mb3_general_ci,<blank>,NULL,16,NULL,utf8mb3,NULL,NULL,90,30
<blank>,varchar,<blank>,varchar(20),YES,NEVER,information_schema,select,PROFILING,NULL,def,SOURCE_FILE,utf8mb3_general_ci,<blank>,NULL,17,NULL,utf8mb3,NULL,NULL,60,20
<blank>,int,<blank>,int(20),YES,NEVER,information_schema,select,PROFILING,0,def,SOURCE_LINE,NULL,<blank>,NULL,18,10,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,varchar(512),NO,NEVER,information_schema,select,REFERENTIAL_CONSTRAINTS,NULL,def,CONSTRAINT_CATALOG,utf8mb3_general_ci,<blank>,NULL,1,NULL,utf8mb3,NULL,NULL,1536,512
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,REFERENTIAL_CONSTRAINTS,NULL,def,CONSTRAINT_SCHEMA,utf8mb3_general_ci,<blank>,NULL,2,NULL,utf8mb3,NULL,NULL,192,64
<blank>,varchar,<blank>,varchar(64),NO,NEVER,information_schema,select,REFERENTIAL_CONSTRAINTS,NULL,def,CONSTRAINT_NAME,utf8mb3_general_ci,<blank>,NULL,3,NULL,utf8mb3,NULL,NULL,192,64
